 --> Category: RECO_VBFLIKEGGH_Tag0
    * WH_lep_PTV_150_250_GE1J_2017_hgg = 1.94%
    * ZH_lep_PTV_75_150_2017_hgg = 2.72%
    * WH_lep_PTV_150_250_0J_2017_hgg = 1.97%
    * WH_lep_PTV_GT250_2017_hgg = 1.23%
    * WH_lep_PTV_0_75_2018_hgg = 4.65%
    * WH_lep_PTV_75_150_2018_hgg = 18.32%
    * WH_lep_PTV_150_250_GE1J_2018_hgg = 1.79%
    * ZH_lep_PTV_75_150_2018_hgg = 2.58%
    * WH_lep_PTV_150_250_0J_2018_hgg = 2.71%
    * WH_lep_PTV_GT250_2018_hgg = 1.19%

 --> Category: RECO_WH_LEP_HIGH_Tag2
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 1.47%
    * WH_lep_PTV_0_75_2016_hgg = 6.07%
    * ZH_lep_PTV_0_75_2016_hgg = 1.28%
    * WH_lep_PTV_75_150_2016_hgg = 16.04%
    * WH_lep_PTV_150_250_GE1J_2016_hgg = 1.83%
    * ZH_lep_PTV_75_150_2016_hgg = 3.47%
    * WH_lep_PTV_150_250_0J_2016_hgg = 1.31%
    * WH_lep_PTV_0_75_2017_hgg = 4.86%
    * ZH_lep_PTV_0_75_2017_hgg = 1.27%
    * WH_lep_PTV_75_150_2017_hgg = 11.75%
    * WH_lep_PTV_150_250_GE1J_2017_hgg = 1.87%
    * ZH_lep_PTV_75_150_2017_hgg = 4.04%
    * WH_lep_PTV_150_250_0J_2017_hgg = 1.07%
    * WH_lep_PTV_0_75_2018_hgg = 7.22%
    * WH_lep_PTV_75_150_2018_hgg = 15.13%
    * WH_lep_PTV_150_250_GE1J_2018_hgg = 1.93%
    * ZH_lep_PTV_75_150_2018_hgg = 3.39%

 --> Category: RECO_WH_LEP_LOW_Tag0
    * WH_lep_PTV_0_75_2016_hgg = 31.41%
    * ZH_lep_PTV_0_75_2016_hgg = 1.46%
    * WH_lep_PTV_75_150_2016_hgg = 4.48%
    * WH_lep_PTV_0_75_2017_hgg = 22.11%
    * ZH_lep_PTV_0_75_2017_hgg = 1.69%
    * WH_lep_PTV_75_150_2017_hgg = 3.78%
    * WH_lep_PTV_0_75_2018_hgg = 28.40%
    * ZH_lep_PTV_0_75_2018_hgg = 1.50%
    * WH_lep_PTV_75_150_2018_hgg = 3.39%

 --> Category: RECO_WH_LEP_LOW_Tag1
    * WH_lep_PTV_0_75_2016_hgg = 27.82%
    * ZH_lep_PTV_0_75_2016_hgg = 2.64%
    * WH_lep_PTV_75_150_2016_hgg = 4.00%
    * WH_lep_PTV_0_75_2017_hgg = 22.26%
    * ZH_lep_PTV_0_75_2017_hgg = 2.36%
    * WH_lep_PTV_75_150_2017_hgg = 2.89%
    * WH_lep_PTV_0_75_2018_hgg = 28.67%
    * ZH_lep_PTV_0_75_2018_hgg = 1.80%
    * WH_lep_PTV_75_150_2018_hgg = 4.23%

 --> Category: RECO_WH_LEP_LOW_Tag2
    * WH_lep_PTV_0_75_2016_hgg = 26.00%
    * ZH_lep_PTV_0_75_2016_hgg = 3.50%
    * WH_lep_PTV_75_150_2016_hgg = 4.58%
    * ggH_1J_PTH_0_60_2016_hgg = 1.45%
    * WH_lep_PTV_0_75_2017_hgg = 18.99%
    * ZH_lep_PTV_0_75_2017_hgg = 3.95%
    * WH_lep_PTV_75_150_2017_hgg = 2.88%
    * WH_lep_PTV_0_75_2018_hgg = 23.61%
    * ZH_lep_PTV_0_75_2018_hgg = 3.98%
    * WH_lep_PTV_75_150_2018_hgg = 4.38%

 --> Category: RECO_ZH_LEP
    * ZH_lep_PTV_150_250_GE1J_2016_hgg = 2.45%
    * ZH_lep_PTV_0_75_2016_hgg = 16.16%
    * ZH_lep_PTV_150_250_0J_2016_hgg = 2.72%
    * ZH_lep_PTV_75_150_2016_hgg = 11.14%
    * ZH_lep_PTV_GT250_2016_hgg = 2.26%
    * ZH_lep_PTV_150_250_GE1J_2017_hgg = 2.59%
    * ZH_lep_PTV_0_75_2017_hgg = 13.43%
    * ZH_lep_PTV_150_250_0J_2017_hgg = 2.92%
    * ZH_lep_PTV_75_150_2017_hgg = 11.89%
    * ZH_lep_PTV_GT250_2017_hgg = 2.68%
    * ZH_lep_PTV_150_250_GE1J_2018_hgg = 1.86%
    * ZH_lep_PTV_0_75_2018_hgg = 13.02%
    * ZH_lep_PTV_150_250_0J_2018_hgg = 2.68%
    * ZH_lep_PTV_75_150_2018_hgg = 11.32%
    * ZH_lep_PTV_GT250_2018_hgg = 2.37%

